id,member_id,group_id,amount,interestRate,startDate,dueDate,status,outstandingBalance,approvedBy_member_id,created_by,modified_by,created_on,modified_on,mansoft_tenant_id
cbc85b4d-33d3-4cde-94a9-249781c85903,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,grp_029,5000,16.0,2023-04-11,2024-10-02,Repaid,0.0,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,system,system,2023-04-11 00:00:00,2023-04-11 00:00:00,tenant_001
ae440104-bedb-4997-b013-b1a1005eb1bf,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,grp_029,100000,14.0,2021-05-10,2022-05-05,Repaid,0.0,aa1f1eb6-4316-4918-9c95-a9d53a71bba8,system,system,2021-05-10 00:00:00,2021-05-10 00:00:00,tenant_001
47637894-d193-4a63-976d-5925fb1dbe21,779e73ed-6320-4356-bf0d-00f5d7a9a16a,grp_013,5000,10.0,2024-11-22,2025-05-21,Active,1666.67,779e73ed-6320-4356-bf0d-00f5d7a9a16a,system,system,2024-11-22 00:00:00,2024-11-22 00:00:00,tenant_001
e4ac58ef-4aa9-4fd0-90e5-9e748347eb58,1134e361-9b60-4d70-b5ae-c802c1b6bf26,grp_017,25000,14.0,2022-01-01,2022-06-30,Active,12500.0,1134e361-9b60-4d70-b5ae-c802c1b6bf26,system,system,2022-01-01 00:00:00,2022-01-01 00:00:00,tenant_001
fd0d460a-0a4c-4fbe-94e2-79d8bf238c73,2c081cb6-ab62-4933-a7ff-bad0f2147d09,grp_039,60000,14.0,2023-03-29,2023-09-25,Active,30000.0,2c081cb6-ab62-4933-a7ff-bad0f2147d09,system,system,2023-03-29 00:00:00,2023-03-29 00:00:00,tenant_001
7f6436b8-46b8-4ace-b98a-a059a8f8cfbd,89e04be9-4886-44cc-9db8-7d9bd746c25d,grp_043,15000,14.0,2024-02-22,2026-02-11,Repaid,0.0,89e04be9-4886-44cc-9db8-7d9bd746c25d,system,system,2024-02-22 00:00:00,2024-02-22 00:00:00,tenant_001
faa61b30-84d0-48a6-a7d7-2c1d1b5f10d6,899f36fb-4001-4a60-926e-7b3137b05c31,grp_018,40000,10.0,2024-01-03,2024-12-28,Repaid,0.0,899f36fb-4001-4a60-926e-7b3137b05c31,system,system,2024-01-03 00:00:00,2024-01-03 00:00:00,tenant_001
4b7fc451-bd79-4c21-8f9c-390c80314f59,899f36fb-4001-4a60-926e-7b3137b05c31,grp_018,10000,14.0,2023-09-03,2024-08-28,Active,5000.0,899f36fb-4001-4a60-926e-7b3137b05c31,system,system,2023-09-03 00:00:00,2023-09-03 00:00:00,tenant_001
640b9ca3-f9e9-4f0e-b8cc-08b290ad6df0,d63d265e-efff-4caa-b922-bd8fdb7982e9,grp_003,30000,14.0,2024-05-05,2025-04-30,Active,12500.0,d63d265e-efff-4caa-b922-bd8fdb7982e9,system,system,2024-05-05 00:00:00,2024-05-05 00:00:00,tenant_001
70517054-09f4-49e0-bbb3-b1c601e70c99,d63d265e-efff-4caa-b922-bd8fdb7982e9,grp_003,60000,14.0,2024-08-24,2025-08-19,Repaid,0.0,d63d265e-efff-4caa-b922-bd8fdb7982e9,system,system,2024-08-24 00:00:00,2024-08-24 00:00:00,tenant_001
736bac97-f39d-45dc-8502-de259e4bea72,89a34729-9502-4314-8c1a-3a0a3b72f810,grp_029,25000,12.0,2021-06-27,2024-06-11,Repaid,0.0,89a34729-9502-4314-8c1a-3a0a3b72f810,system,system,2021-06-27 00:00:00,2021-06-27 00:00:00,tenant_001
99fa1bf5-c9a0-4d8b-be4c-15de90b5ce99,a04311da-bba4-4d10-a82d-9e01c6d6d24b,grp_048,15000,12.0,2025-11-23,2027-11-13,Repaid,0.0,a04311da-bba4-4d10-a82d-9e01c6d6d24b,system,system,2025-11-23 00:00:00,2025-11-23 00:00:00,tenant_001
