member_id,eligible_amount,eligible_amount_formatted
bebc2037-5cdb-4862-a35f-8c8c18be85f8,83213.59,"KES 83,214"
ff25e319-3862-492f-a081-d9825eac3217,108848.18,"KES 108,848"
9fbb1990-eb75-4154-bb79-0aa9793a02ad,77935.13,"KES 77,935"
5754fa8f-4d7f-43cf-a428-7a2b5544a0e6,62688.48,"KES 62,688"
3705166a-a09f-4bff-b11c-97b57f04b8ff,122883.87,"KES 122,884"
6fd3bf71-587b-4d38-8325-b65f33332f61,81713.4,"KES 81,713"
e74ae304-6e21-4e53-a3ef-d8983749f7c3,21888.85,"KES 21,889"
4dfb387e-3ab2-4c58-a349-a9aee194383a,13002.73,"KES 13,003"
33f1e106-b042-48a4-a6d2-28d4ac7e52b7,107828.58,"KES 107,829"
96623150-2e40-4a24-b984-51faf5401dcb,57759.6,"KES 57,760"
abf4c7f1-5041-4136-94ed-3fc23dde8718,18240.76,"KES 18,241"
fc21648e-c52c-4b63-8410-36d880c4f39d,19506.45,"KES 19,506"
18418cb6-4ad1-456c-a153-95cef13be730,18463.52,"KES 18,464"
55fd505f-a67f-4d2c-b77b-7adb6c120fcd,56274.25,"KES 56,274"
ba123f7f-07de-424c-8291-311406c71949,29354.9,"KES 29,355"
280e1524-c2b7-4e09-91ab-795c9a2daf5a,75460.78,"KES 75,461"
c128220a-ae45-4864-b5f3-b93011f1dc96,48605.23,"KES 48,605"
8be84676-3b9d-442a-afc7-7358a23d9a3a,86088.19,"KES 86,088"
a3e2c744-98cb-441c-926c-be769fe0cfb2,68017.55,"KES 68,018"
85fe2153-7903-4d63-ab8a-f648421536fa,29244.07,"KES 29,244"
15e8141c-7cfe-41cb-80c2-e4ee226ac359,18653.27,"KES 18,653"
fcf20822-2807-4a53-91d4-a3ddcd7fbf20,45244.46,"KES 45,244"
4c933093-48f6-45e8-9159-c258c2ee4302,16219.28,"KES 16,219"
20899283-d1a8-4118-8a98-593fba3914dc,81310.64,"KES 81,311"
eca22886-32ce-49f1-9f5d-86d28c39677f,29434.8,"KES 29,435"
72705f24-6a28-4768-8d4c-e8969d268a93,54420.02,"KES 54,420"
24f8a449-c8a7-435c-9ba5-9001bc7afc29,10885.34,"KES 10,885"
592f363f-6c40-414e-9fb6-81b3df68862b,82896.41,"KES 82,896"
38c44d3e-e981-49e6-92bc-5aaf72fa52d6,63089.16,"KES 63,089"
0547dbb1-691a-43ff-8b96-807933eb00d1,17736.14,"KES 17,736"
28b0685d-544e-4851-8b45-cd456282c00e,91851.5,"KES 91,852"
7592c58e-4a3a-42d2-8071-cfd95d086d2f,104889.98,"KES 104,890"
4ea1298c-2a7e-4451-a618-4de4585b3b63,78453.35,"KES 78,453"
3a2a19bc-4a2e-4ecf-a9e3-4989fbefecf0,82646.64,"KES 82,647"
a690f234-bcca-491b-b4e1-abf55a3df905,103764.63,"KES 103,765"
