member_id,eligibility_amount,loan_risk,sentiment_risk,final_recommendation
mem_0001,18208.25,VERY LOW,Unknown,APPROVE
mem_0002,70298.2,HIGH,Unknown,REJECT
mem_0003,69237.05,VERY LOW,Unknown,APPROVE
mem_0004,32161.3,MEDIUM,Unknown,APPROVE WITH CAUTION
mem_0005,59546.96,MEDIUM,Unknown,APPROVE WITH CAUTION
mem_0006,66624.9,MEDIUM,LOW,APPROVE WITH CAUTION
mem_0007,41270.48,VERY LOW,Unknown,APPROVE
mem_0008,86037.92,VERY LOW,Unknown,APPROVE
mem_0009,10013.81,LOW,Unknown,APPROVE
mem_0010,62439.07,VERY LOW,Unknown,APPROVE
